# Y-M-D_T_H:M:S       ObsNum  Receiver   ObsGoal      ObgPgm      SourceName                ProjectId                   RestFreq      VLSR    TINT    RA          DEC        AZ     EL   A1 E1
2025-01-27T04:08:58   125394  1MM        Calibration  Cal         CRL618                    2024-S1-US-3                   230.5380   -22       5.7   70.723633  36.114769  318.3  65.4  239.76 0
2025-01-27T04:09:40   125395  1MM        Pointing     Map(Az/D)   CRL618                    2024-S1-US-3                   230.5380   -22     148.2   70.723633  36.114769  317.6  65.0  239.76 0
2025-01-27T04:14:53   125396  1MM        Calibration  Cal         CRL618                    2024-S1-US-3                   230.5380   -22       5.0   70.723633  36.114769  316.2  64.2  239.76 0
2025-01-27T04:15:34   125397  1MM        Pointing     Map(Az/D)   CRL618                    2024-S1-US-3                   230.5380   -22     146.8   70.723633  36.114769  316.0  64.0  239.76 0
2025-01-27T04:21:25   125398  1MM        Calibration  Cal         Taurus_Peak               2024-S1-US-3                   230.5380     0       5.6   69.594542  27.102661  294.4  65.9  0 0
2025-01-27T04:31:18   125399  1MM        Science      Map(Dec/D)  Taurus_Peak               2024-S1-US-3                   230.5380     0     407.2   69.594542  27.102661  293.2  63.7  0 0
2025-01-27T04:43:16   125400  1MM        Calibration  Cal         CRL618                    2024-S1-US-3                   230.5380   -22       5.1   70.723633  36.114769  310.0  59.3  239.76 0
2025-01-27T04:44:01   125401  1MM        Pointing     Map(Az/D)   CRL618                    2024-S1-US-3                   230.5380   -22     145.5   70.723633  36.114769  309.8  59.1  239.76 0
2025-01-27T04:50:08   125402  1MM        Calibration  Cal         Taurus_Edge               2024-S1-US-3                   230.5380     0       6.2   69.460375  27.000828  291.4  59.6  0 0
2025-01-27T04:50:53   125403  1MM        Science      Map(Dec/D)  Taurus_Edge               2024-S1-US-3                   230.5380     0     421.9   69.460375  27.000828  291.3  59.3  0 0
2025-01-27T05:04:46   125404  1MM        Calibration  Cal         Taurus_Edge               2024-S1-US-3                   230.5380     0       5.3   69.460375  27.000828  290.5  56.3  0 0
2025-01-27T05:05:32   125405  1MM        Science      Map(Dec/D)  Taurus_Edge               2024-S1-US-3                   230.5380     0     410.4   69.460375  27.000828  290.5  56.1  0 0
2025-01-27T05:22:36   125406  1MM        Calibration  Cal         Taurus_Edge               2024-S1-US-3                   230.5380     0       5.2   69.460375  27.000828  290.0  52.3  0 0
2025-01-27T05:23:19   125407  1MM        Science      Map(Dec/D)  Taurus_Edge               2024-S1-US-3                   230.5380     0     417.2   69.460375  27.000828  289.9  52.1  0 0
2025-01-27T05:36:56   125408  1MM        Calibration  Cal         Taurus_Peak               2024-S1-US-3                   230.5380     0       5.2   69.594542  27.102661  289.9  49.4  0 0
2025-01-27T05:37:39   125409  1MM        Science      Map(Dec/D)  Taurus_Peak               2024-S1-US-3                   230.5380     0     417.0   69.594542  27.102661  289.9  49.0  0 0
2025-01-27T05:51:18   125410  1MM        Calibration  Cal         CRL618                    2024-S1-US-3                   230.5380   -22       5.7   70.723633  36.114769  302.9  46.3  239.76 0
2025-01-27T05:51:59   125411  1MM        Pointing     Map(Az/D)   CRL618                    2024-S1-US-3                   230.5380   -22     148.4   70.723633  36.114769  302.8  46.0  239.76 0
2025-01-27T06:20:10   125416  1MM        Calibration  Cal         CRL618                    2024-S1-US-3                   230.5380   -22       5.8   70.723633  36.114769  301.8  40.5  239.76 0
2025-01-27T06:21:01   125417  1MM        Pointing     Map(Az/D)   CRL618                    2024-S1-US-3                   230.5380   -22     144.8   70.723633  36.114769  301.8  40.2  239.76 0
2025-01-27T06:28:16   125418  1MM        Calibration  Cal         CRL618                    2024-S1-US-3                   230.5380   -22       6.1   70.723633  36.114769  301.6  38.8  239.76 0
2025-01-27T06:29:07   125419  1MM        Pointing     Map(Az/D)   CRL618                    2024-S1-US-3                   230.5380   -22     147.5   70.723633  36.114769  301.6  38.5  239.76 0
